ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
635655245134,1288,1268,1312,11.187,Gaia DR3 4918030715504071296,11.103,0.007,+0.524,+0.558,+0.484,0.029,0.014,0.029,+0.377,0.028,+0.363,0.028,10.557,0.023,10.364,0.023,-0.002,+0.032,-0.042,0.009,0.009,0.009,0.004,0.004,0.004,RRC,RRL_c,NA,RRC,1.02642,-59.48506,AO Tuc
455266817326,4014,3695,4429,14.677,Gaia DR3 4996117550271675392,14.265,0.017,+1.205,+1.385,+0.991,0.042,0.020,0.042,+0.569,0.071,+0.549,0.071,13.674,0.023,13.362,0.039,+0.644,+0.824,+0.430,0.012,0.012,0.012,0.005,0.005,0.005,RRAB,NonVar,RRab,RRAB,1.04076,-41.13636,ASAS J000410-4108.2
111670556542,3628,3380,3915,16.334,Gaia DR3 422705016219156992,15.044,0.003,+0.502,+0.655,+0.336,1.744,0.852,1.744,+1.955,0.005,+1.103,0.005,12.494,0.024,11.556,0.023,-0.825,-0.672,-0.991,0.521,0.521,0.521,0.223,0.223,0.223,POSSIBLY,NonVar,possibly,RRC,1.07524,+58.52606,ASASSN-V J000418.06+583133.8
42950268630,99999,99999,99999,15.451,Gaia DR3 XXXXXXXXXXXXXXXXXXX,99.999,9.999,+9.999,+9.999,+9.999,0.121,0.059,0.121,+0.000,9.999,-0.059,9.999,99.999,9.999,99.999,9.999,+9.999,+9.999,+9.999,0.036,0.036,0.036,0.015,0.015,0.015,RRAB,RRL_ab,NA,RRAB,1.07658,+42.10912,CSS_J000418.3+420632
506807000394,8064,6362,10324,15.648,Gaia DR3 2441959769889570944,15.465,0.014,+0.908,+1.423,+0.372,0.024,0.012,0.024,+0.715,0.054,+0.703,0.054,14.499,0.024,14.222,0.064,-0.041,+0.474,-0.577,0.007,0.007,0.007,0.003,0.003,0.003,RRAB,RRL_ab,NA,RRAB,1.10011,-6.85663,CSS_J000424.0-065123
120260247366,634,625,640,14.093,Gaia DR3 384958644592311040,13.990,0.003,+4.762,+4.793,+4.741,0.218,0.107,0.218,+0.944,0.007,+0.837,0.007,12.625,0.026,12.267,0.028,+3.550,+3.581,+3.529,0.065,0.065,0.065,0.028,0.028,0.028,RRAB,RRL_ab,NA,RRAB,1.11417,+44.06372,CSS_J000427.4+440349
635656191151,3388,3207,3580,14.019,Gaia DR3 4972298520643889536,13.759,0.008,+1.073,+1.193,+0.954,0.036,0.018,0.036,+0.632,0.032,+0.614,0.032,13.050,0.025,12.680,0.032,+0.389,+0.509,+0.270,0.011,0.011,0.011,0.005,0.005,0.005,RRAB,RRL_ab,NA,RRAB,1.21282,-52.90422,ASAS J000452-5254.4
163209096452,5577,4800,6821,15.504,Gaia DR3 4995680219521722880,15.143,0.017,+1.386,+1.712,+0.949,0.025,0.012,0.025,+0.517,0.078,+0.505,0.078,14.617,0.035,14.411,0.071,+0.877,+1.203,+0.440,0.008,0.008,0.008,0.003,0.003,0.003,RRAB,RRL_ab,NA,RRAB,1.21291,-42.51114,SSS_J000451.1-423040
292058306407,3780,3571,4047,13.858,Gaia DR3 2421574274555072768,13.734,0.007,+0.847,+0.970,+0.698,0.000,0.000,0.000,+0.490,0.031,+0.490,0.031,13.119,0.024,12.845,0.031,+0.232,+0.355,+0.083,0.000,0.000,0.000,0.000,0.000,0.000,RRC,RRL_c,NA,RRC,1.27628,-12.07820,ASAS J000507-1204.6
601295850586,5486,4780,6036,14.413,Gaia DR3 4973139367866332544,14.580,0.009,+9.999,+9.999,+9.999,0.030,0.015,0.030,+0.613,0.036,+0.598,0.036,99.999,9.999,99.999,9.999,+9.999,+9.999,+9.999,0.009,0.009,0.009,0.004,0.004,0.004,RRAB,RRL_ab,NA,RRAB,1.30367,-52.15189,GSC 08028-01334
68720051147,5239,4731,5739,14.996,Gaia DR3 420412019078637312,14.665,0.006,+0.439,+0.660,+0.241,0.630,0.308,0.630,+0.862,0.024,+0.554,0.024,13.418,0.032,13.107,0.040,-0.366,-0.145,-0.564,0.188,0.188,0.188,0.081,0.081,0.081,RRC,RRL_c,NA,RRC,1.39980,+54.87971,ASASSN-V J000535.95+545246.9
60130813736,4011,3703,4418,14.073,Gaia DR3 384590857952363776,13.745,0.013,+0.511,+0.684,+0.301,0.218,0.107,0.218,+0.694,0.051,+0.587,0.051,12.879,0.023,12.521,0.024,-0.202,-0.029,-0.412,0.065,0.065,0.065,0.028,0.028,0.028,RRAB,RRL_ab,NA,RRAB,1.45107,+42.72267,1SWASP J000548.23+424321.9
498217352792,6257,5436,7249,15.166,Gaia DR3 4688556144797231616,14.978,0.013,+0.896,+1.202,+0.577,0.100,0.049,0.100,+0.554,0.054,+0.505,0.054,14.081,0.032,13.835,0.052,+0.069,+0.375,-0.250,0.030,0.030,0.030,0.013,0.013,0.013,RRAB,RRL_ab,NA,RR,1.49404,-74.11350,UW Tuc
223338761939,2670,2441,2920,15.143,Gaia DR3 383945169749134976,14.951,0.006,+2.624,+2.819,+2.430,0.194,0.095,0.194,+0.611,0.023,+0.516,0.023,14.244,0.030,13.874,0.038,+2.053,+2.248,+1.859,0.058,0.058,0.058,0.025,0.025,0.025,RRC,RRL_c,NA,RRC,1.49666,+40.56100,PS1-3PI J000559.19+403339.5
455266711106,4033,3796,4312,13.700,Gaia DR3 2309225008197193856,13.462,0.011,+0.398,+0.529,+0.253,0.036,0.018,0.036,+0.623,0.049,+0.605,0.049,12.540,0.025,12.203,0.025,-0.499,-0.368,-0.644,0.011,0.011,0.011,0.005,0.005,0.005,RRAB,RRL_ab,NA,RRAB,1.50817,-36.90420,WW Scl
17180985901,5078,4621,5800,15.756,Gaia DR3 539709546083672320,15.233,0.011,+0.978,+1.182,+0.689,0.727,0.355,0.727,+1.014,0.052,+0.659,0.052,13.873,0.032,13.322,0.037,+0.128,+0.332,-0.161,0.217,0.217,0.217,0.093,0.093,0.093,RRAB,RRL_ab,NA,RRAB,1.51959,+75.82718,ASASSN-V J000604.70+754937.9
223338908954,5572,4796,6513,14.853,Gaia DR3 2753356168844588032,14.694,0.008,+0.673,+0.999,+0.334,0.291,0.142,0.291,+0.409,0.035,+0.267,0.035,14.033,0.032,13.951,0.052,+0.216,+0.542,-0.123,0.087,0.087,0.087,0.037,0.037,0.037,RRC,RRL_c,NA,RRC,1.52213,+10.36534,ASASSN-V J000605.31+102155.2
214748587822,4831,4432,5331,14.461,Gaia DR3 2798293518308402176,14.172,0.005,+0.679,+0.866,+0.465,0.073,0.036,0.073,+0.680,0.019,+0.644,0.019,13.324,0.026,12.993,0.030,-0.118,+0.069,-0.332,0.022,0.022,0.022,0.009,0.009,0.009,I'D,CEPH_Other,I'd,RRAB,1.56061,+19.69367,CSS_J000614.5+194136
352187710537,3868,3581,4157,14.021,Gaia DR3 2745522389014582400,13.832,0.007,+0.725,+0.892,+0.568,0.170,0.083,0.170,+0.547,0.027,+0.464,0.027,12.980,0.029,12.761,0.028,-0.008,+0.159,-0.165,0.051,0.051,0.051,0.022,0.022,0.022,RRC,RRL_c,NA,RRC,1.57447,+6.29801,ASASSN-V J000617.87+061752.8
532576226664,3509,3269,3793,13.760,Gaia DR3 2309658421937137280,13.528,0.014,+0.765,+0.919,+0.596,0.037,0.018,0.037,+0.578,0.060,+0.560,0.060,12.617,0.024,12.467,0.026,-0.120,+0.034,-0.289,0.011,0.011,0.011,0.005,0.005,0.005,RRAB,RRL_ab,NA,RRAB,1.58679,-35.28686,CD Scl
360778106749,6424,5260,7709,15.118,Gaia DR3 2772765710169752704,14.843,0.013,+0.804,+1.238,+0.408,0.000,0.000,0.000,+0.583,0.060,+0.583,0.060,14.060,0.025,13.726,0.051,+0.021,+0.455,-0.375,0.000,0.000,0.000,0.000,0.000,0.000,RRAB,RRL_ab,NA,RRAB,1.60168,+17.07860,CSS_J000624.4+170443
369368066505,5894,5085,6793,15.121,Gaia DR3 2765843288041614592,14.761,0.013,+0.497,+0.818,+0.189,0.412,0.201,0.412,+0.814,0.050,+0.613,0.050,13.625,0.026,13.283,0.036,-0.350,-0.029,-0.658,0.123,0.123,0.123,0.053,0.053,0.053,RRAB,RRL_ab,NA,RRAB,1.72061,+11.68723,Loneos-RR 203
983428,5948,5384,6666,15.493,Gaia DR3 4629777868084123520,15.154,0.009,+0.856,+1.072,+0.609,0.426,0.208,0.426,+0.825,0.040,+0.617,0.040,13.962,0.033,13.516,0.043,-0.037,+0.179,-0.284,0.127,0.127,0.127,0.054,0.054,0.054,RRAB,RRL_ab,NA,RRAB,1.74449,-83.53154,ASASSN-V J000658.51-833153.5
386547093730,5657,5080,6257,14.736,Gaia DR3 2320937418373430016,14.539,0.016,+0.776,+1.010,+0.557,0.000,0.000,0.000,+0.550,0.066,+0.550,0.066,13.628,0.027,13.523,0.038,-0.135,+0.099,-0.354,0.000,0.000,0.000,0.000,0.000,0.000,RRAB,RRL_ab,NA,RRAB,1.74465,-29.60695,SX Scl
352187921238,4676,4113,5204,14.498,Gaia DR3 2418230178658364288,14.365,0.014,+1.016,+1.294,+0.783,0.000,0.000,0.000,+0.599,0.059,+0.599,0.059,13.708,0.029,13.392,0.034,+0.359,+0.637,+0.126,0.000,0.000,0.000,0.000,0.000,0.000,RRAB,RRL_ab,NA,RRAB,1.76108,-13.30372,NSVS 14655511
77309803886,6275,5618,7504,15.010,Gaia DR3 2880859694729671296,14.625,0.008,+0.419,+0.659,+0.031,0.218,0.107,0.218,+0.737,0.032,+0.630,0.032,13.771,0.025,13.330,0.026,-0.282,-0.042,-0.670,0.065,0.065,0.065,0.028,0.028,0.028,RRAB,RRL_ab,NA,RRAB,1.82375,+38.96075,CSS_J000717.7+385738
17180436359,2192,2126,2257,14.690,Gaia DR3 431544501292495616,14.169,0.006,+1.529,+1.608,+1.450,0.936,0.451,0.951,+1.171,0.023,+0.714,0.027,12.607,0.025,12.203,0.028,+0.624,+0.694,+0.555,0.279,0.275,0.284,0.120,0.118,0.122,RRC,RRL_c,NA,RRC,1.87474,+63.38366,ASASSN-V J000729.94+632301.2
