ASASSN_id,distance,distance_low,distance_high,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
51540240418,8260,6572,10673,14.574,0.030,14.391,0.062,-0.062,+0.435,-0.618,0.051,0.051,0.051,0.022,0.022,0.022,RRL_ab,NA,RRAB,2.40168,+42.38240,1SWASP J000937.86+422240.1
343597906181,8351,6982,10102,14.341,0.028,14.008,0.053,-0.297,+0.092,-0.710,0.029,0.029,0.029,0.012,0.012,0.012,RRL_ab,NA,RRAB,2.42687,-0.56290,Loneos-RR 727
635655373042,6141,5361,6952,13.672,0.022,13.338,0.029,-0.279,+0.016,-0.549,0.010,0.010,0.010,0.004,0.004,0.004,RRL_ab,NA,RRAB,2.43367,-33.98892,DD Scl
661428667349,4369,3702,5308,14.479,0.029,14.173,0.058,+1.263,+1.623,+0.840,0.014,0.014,0.014,0.006,0.006,0.006,NonVar,RRab,RRAB,2.44140,-5.02658,PS1-3PI J000945.92-050135.7
661427629142,99999,99999,99999,99.999,9.999,99.999,9.999,9.999,9.999,9.999,0.008,0.008,0.008,0.004,0.004,0.004,NonVar,RRab,RRAB,2.45628,-56.52406,SSS_J000949.5-563127
523986598178,99999,99999,99999,99.999,9.999,99.999,9.999,9.999,9.999,9.999,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,2.53720,-25.56063,SSS_J001008.9-253338
197568873302,3338,3112,3586,12.811,0.023,12.458,0.023,-0.023,+0.149,-0.179,0.217,0.197,0.217,0.093,0.084,0.093,RRL_ab,NA,RRAB,2.59732,+52.36393,1SWASP J001022.10+522207.1
549756977370,745,733,757,10.660,0.022,10.414,0.019,+1.299,+1.334,+1.265,0.000,0.000,0.000,0.000,0.000,0.000,EB_ED,RRC,RRC,2.61108,-24.96700,ASASSN-V J001026.66-245801.2
240518288605,6540,5589,7701,14.336,0.032,14.073,0.055,+0.258,+0.599,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,2.63905,-14.41124,CSS_J001033.3-142440
403727744935,7551,6104,9465,15.130,0.035,14.736,0.099,+0.718,+1.180,+0.227,0.022,0.022,0.022,0.009,0.009,0.009,RRL_ab,NA,RRAB,2.79034,-71.23070,ASASSN-V J001109.73-711350.8
