ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name,J-K,J-K_err,sigma_distance,sigma_dist_term,E(B-V),A_J,E(J-K),abs_mag_J_err,above_line
292057812787,4679,4244,5371,13.98,Gaia DR3 3329234141332024192,13.891,0.01,-0.744,-0.51,-1.043,1.284,0.617,1.284,0.66,0.033,0.033,0.034,12.853,0.03,12.636,0.03,-0.8807652259609027,-0.663,-1.18,0.383,0.377,0.383,0.164,0.162,0.164,EW,EB_ESD,EW,RRAB,93.70682,10.12812,WISE J061449.6+100741,0.21700000000000053,0.042426406871192854,563.5,0.26151414891267616,0.4208791208791209,0.383,0.21885714285714286,0.26600101518889235,True
386548197620,1268,1230,1301,11.66,Gaia DR3 2937100951440192256,11.488,0.003,0.851,0.917,0.796,0.121,0.059,0.121,0.56,0.006,0.501,0.006,10.706,0.023,10.523,0.023,0.15440373227143092,0.22,0.099,0.036,0.036,0.036,0.015,0.015,0.015,DSCT,DSCT,DSCT,ESD|RRC|DSCT|EC|ED,98.14996,-21.98894,ASAS J063236-2159.3,0.18299999999999983,0.03252691193458118,35.5,0.060794377395762766,0.03956043956043956,0.036,0.02057142857142857,0.06509928051014413,True
25770379538,586,579,595,11.575,Gaia DR3 966907506105789056,11.017,0.003,1.912,1.938,1.878,0.266,0.13,0.266,1.006,0.01,0.876,0.01,9.654,0.028,9.128,0.018,0.7345119199095455,0.761,0.701,0.08,0.08,0.08,0.034,0.034,0.034,EW,NonVar,EW,RRC,100.82306,47.93701,ASASSN-V J064317.54+475613.3,0.5259999999999998,0.033286633954186476,8.0,0.02964467453264517,0.0879120879120879,0.08,0.045714285714285714,0.04155486407325214,True
644245665318,1249,1221,1271,12.071,Gaia DR3 5282095473777638656,11.88,0.003,1.17,1.219,1.131,0.227,0.111,0.228,0.568,0.008,0.457,0.008,11.118,0.022,10.902,0.025,0.5671878081293218,0.616,0.529,0.068,0.068,0.068,0.029,0.029,0.029,EW,CEPH_1O,EW,EC|RRC|ESD,103.95692,-65.81703,ASAS J065550-6549.0,0.21600000000000108,0.03330165161069343,25.0,0.04346421956597796,0.07472527472527472,0.068,0.03885714285714286,0.049187177012708715,True
523986374500,1160,1130,1193,10.691,Gaia DR3 3052609320871896320,10.552,0.003,-0.631,-0.354,-0.898,0.861,0.313,1.067,0.225,0.01,-0.196,0.209,10.213,0.023,10.134,0.023,-0.3662899461345933,-0.243,-0.489,0.257,0.191,0.319,0.11,0.082,0.137,EW,NonVar,EW,RRC|EC|ESD,104.85275,-7.53903,ASAS J065925-0732.4,0.07899999999999885,0.03252691193458118,31.5,0.05896670767220875,0.2824175824175824,0.257,0.14685714285714285,0.06831224351241674,True
309238713639,1796,1753,1851,12.587,Gaia DR3 2932407033230509312,12.443,0.004,0.88,0.939,0.815,0.291,0.139,0.291,0.485,0.011,0.343,0.011,11.707,0.024,11.525,0.027,0.34846833834357205,0.403,0.283,0.087,0.085,0.087,0.037,0.036,0.037,EW,CEPH_Other,EW,DCEP-FO|RRAB|EC|ESD,105.54313,-20.66214,ASAS J070210-2039.7,0.18200000000000038,0.036124783736376884,49.0,0.05924395772065517,0.0956043956043956,0.087,0.04971428571428571,0.06450997230201527,True
481037414019,3553,3328,3822,15.179,Gaia DR3 5613233500938423808,14.821,0.005,1.438,1.583,1.266,0.63,0.306,0.644,0.779,0.015,0.471,0.017,13.678,0.027,13.271,0.037,0.737023962553361,0.88,0.575,0.188,0.187,0.192,0.081,0.08,0.082,EB,EB_EC,EB,RRAB,112.70397,-26.5828,GDS_J0730489-263458,0.40700000000000003,0.04580392996239514,247.0,0.1509579749931089,0.20659340659340658,0.188,0.10742857142857143,0.1545016188071183,True
395137737419,1948,1881,2011,12.142,Gaia DR3 3034091994569453952,12.181,0.004,0.612,0.688,0.543,0.121,0.059,0.121,0.148,0.013,0.089,0.013,11.899,0.026,11.88,0.023,0.41505523728701693,0.491,0.346,0.036,0.036,0.036,0.015,0.015,0.015,EW,EB_ESD,EW,ESD|RRC|EC,112.98429,-12.18383,ASAS J073156-1211.0,0.01899999999999835,0.03471310991541956,65.0,0.07245672824361234,0.03956043956043956,0.036,0.02057142857142857,0.07706450199520327,True
506806729616,3422,3231,3648,14.853,Gaia DR3 5611691745119115648,14.59,0.004,1.289,1.413,1.15,0.63,0.308,0.63,0.863,0.016,0.555,0.016,13.411,0.026,13.065,0.024,0.55159997397459,0.676,0.413,0.188,0.188,0.188,0.081,0.081,0.081,EW,EB_ESD,EW,RRC,113.65492,-28.39184,PS1-3PI J073437.18-282330.6,0.3460000000000001,0.03538361202590826,208.5,0.13230625288841028,0.20659340659340658,0.188,0.10742857142857143,0.13614104654134246,True
317828563675,1272,1251,1294,13.508,Gaia DR3 5273997570638249728,12.959,0.004,1.979,2.016,1.941,0.458,0.223,0.458,1.049,0.011,0.825,0.011,11.586,0.022,11.041,0.019,0.9265644434380254,0.964,0.889,0.137,0.136,0.137,0.059,0.058,0.059,EW,EB_EC,EW,RRC,114.96656,-68.57684,ASASSN-V J073951.97-683436.6,0.5449999999999999,0.029068883707497266,21.5,0.03670334654449651,0.15054945054945057,0.137,0.0782857142857143,0.04493134370976906,True
